,time,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
25,25,0.858,0.494,0.442,2.366,2.158,0.338,1.014,0.962,1.976,0.442,1.924,1.534,1.742,0.026000000000000002,2.08,0.13,0.10400000000000001,1.8980000000000001,1.482,0.364,1.794
26,26,2.052,1.944,0.378,2.403,1.701,1.35,0.243,2.322,1.7550000000000001,0.837,2.106,1.728,0.648,1.539,1.215,1.8900000000000001,2.484,1.998,1.377,0.972,2.484
27,27,1.4000000000000001,1.26,2.716,1.344,1.344,1.624,0.812,0.28,1.428,1.512,2.688,2.744,2.716,0.784,1.484,0.448,2.212,2.548,1.988,2.352,1.988
28,28,1.74,2.581,1.972,2.32,0.29,1.3920000000000001,1.421,1.827,1.073,0.319,0.29,2.668,1.3920000000000001,2.262,0.34800000000000003,1.276,0.522,1.421,1.247,2.059,2.059
29,29,2.49,1.98,0.72,2.22,1.77,0.72,2.82,2.34,1.44,1.35,1.95,1.71,0.33,2.52,0.6,2.85,2.94,1.83,1.32,0.87,0.06
30,30,2.697,1.085,2.294,1.5190000000000001,1.24,1.0230000000000001,1.86,3.069,0.899,0.248,2.976,2.945,2.6350000000000002,1.643,2.697,0.589,0.651,0.093,1.2710000000000001,1.364,0.558
31,31,1.024,0.64,0.5760000000000001,1.696,3.104,1.216,2.624,2.432,0.192,1.344,2.24,1.408,2.2720000000000002,0.672,0.48,1.248,0.8320000000000001,0.352,2.08,2.176,2.496
32,32,2.9370000000000003,1.254,1.749,0.495,0.462,3.102,2.31,1.9140000000000001,2.244,2.376,2.4090000000000003,3.267,1.9140000000000001,1.518,1.287,0.231,3.102,2.145,0.429,1.0230000000000001,1.716
33,33,3.23,2.142,0.544,2.278,2.72,2.7880000000000003,1.3940000000000001,2.074,0.34,3.366,3.366,3.06,0.8160000000000001,1.598,0.40800000000000003,1.088,1.836,2.108,2.89,1.258,2.652
34,34,0.77,0.7000000000000001,1.295,2.8000000000000003,3.255,3.22,1.925,2.1,0.455,1.75,1.82,1.155,1.5050000000000001,3.22,1.8900000000000001,0.315,0.56,0.91,1.435,3.255,2.9050000000000002
35,35,0.216,2.7720000000000002,3.3120000000000003,0.396,2.2680000000000002,0.36,3.348,1.4040000000000001,0.14400000000000002,1.9080000000000001,3.384,2.844,2.3040000000000003,0.07200000000000001,0.108,0.972,3.204,2.34,0.792,1.692,2.628
36,36,2.035,3.182,0.999,0.777,3.515,3.589,0.148,0.888,0.296,1.887,1.813,0.148,0.518,1.998,1.147,2.442,0.74,3.145,2.072,0.037,3.404
37,37,3.838,2.508,2.66,3.724,0.912,1.672,3.648,1.026,0.836,3.61,3.686,2.394,2.242,0.798,3.5340000000000003,2.0140000000000002,3.838,1.938,0.38,0.646,2.964
38,38,3.783,1.131,0.8190000000000001,2.184,3.315,0.7020000000000001,3.9,2.457,0.624,3.861,1.7550000000000001,2.613,1.872,1.053,3.3930000000000002,2.535,3.432,0.663,1.092,0.39,2.73
39,39,1.6400000000000001,4.0,3.72,2.56,1.92,2.92,2.84,1.28,1.48,0.68,2.44,3.7600000000000002,1.84,4.0,0.2,4.04,1.32,1.36,1.36,1.68,1.92
40,40,2.419,1.312,0.451,1.312,1.476,4.059,0.451,1.804,4.1,1.722,2.583,3.403,2.87,0.615,0.8200000000000001,0.041,4.141,1.353,0.20500000000000002,0.984,1.927
41,41,2.7720000000000002,0.126,0.336,3.402,2.352,2.856,2.814,2.142,3.234,3.864,0.294,1.47,0.672,0.672,3.192,2.52,3.234,2.058,3.5700000000000003,0.84,4.074
42,42,1.677,0.903,0.86,1.118,2.623,0.9460000000000001,4.128,2.064,2.537,2.451,1.72,3.87,2.795,0.301,2.064,3.182,1.6340000000000001,3.698,2.666,1.6340000000000001,0.602
43,43,4.268,4.224,0.44,3.08,2.508,0.88,2.684,0.308,1.232,0.176,3.036,2.948,0.968,0.264,0.396,3.432,4.18,2.332,2.068,3.432,2.992
44,44,2.16,0.45,1.17,2.43,2.52,0.45,1.935,4.095,3.375,3.6,4.1850000000000005,3.06,2.835,0.09,0.9,3.015,4.365,3.87,2.115,3.465,3.645
45,45,0.506,4.186,0.23,0.41400000000000003,3.7720000000000002,1.702,2.714,3.726,3.818,3.91,4.37,1.978,2.07,2.714,4.2780000000000005,1.61,1.978,4.232,3.404,3.496,2.944
46,46,2.162,3.619,3.196,0.23500000000000001,3.713,0.987,2.303,3.055,3.572,1.316,2.961,0.094,3.149,0.987,3.102,2.2560000000000002,1.1280000000000001,2.491,0.517,4.042,0.329
47,47,4.752,1.536,4.176,1.104,1.872,3.984,2.4,0.384,1.344,0.432,0.768,3.3120000000000003,2.4,2.928,3.6,4.32,0.192,4.848,3.456,0.28800000000000003,4.416
48,48,3.136,2.4010000000000002,4.116,3.332,3.528,3.136,2.254,3.0380000000000003,0.931,2.548,4.4590000000000005,3.43,0.196,3.822,3.0380000000000003,3.185,2.94,3.92,0.784,4.165,1.5190000000000001
49,49,1.6500000000000001,3.0500000000000003,3.75,1.55,1.7,4.0,3.3000000000000003,1.35,0.85,2.2,1.95,4.8,2.05,2.1,2.8000000000000003,4.8,3.0,0.65,4.05,4.55,0.25
50,50,5.049,3.009,0.10200000000000001,2.856,3.2640000000000002,2.3970000000000002,0.357,2.499,4.182,3.876,1.938,1.53,2.754,2.856,0.357,1.734,4.7940000000000005,3.162,1.581,2.448,0.867
51,51,1.56,2.08,1.456,2.392,1.248,4.992,2.704,4.42,2.704,4.732,0.988,4.108,4.784,4.68,5.096,4.68,0.988,0.10400000000000001,2.964,2.08,1.82
52,52,1.431,3.021,2.12,2.332,1.643,0.318,0.53,1.643,0.6890000000000001,3.763,4.7170000000000005,4.187,1.166,3.498,0.9540000000000001,0.583,3.71,1.537,4.929,4.611,1.166
53,53,1.998,5.022,2.646,2.214,4.914,2.376,4.05,0.378,0.162,5.454,2.43,3.078,0.162,1.512,4.212,4.104,2.916,0.864,3.5100000000000002,3.24,1.1340000000000001
54,54,5.28,4.84,2.805,0.99,3.355,2.145,4.565,5.005,1.32,4.51,4.235,1.54,3.9050000000000002,0.88,1.1,4.4,2.365,1.485,1.485,3.795,1.925
55,55,4.5920000000000005,4.648,2.8000000000000003,0.056,2.632,4.816,3.92,3.36,1.568,4.088,2.968,3.3040000000000003,2.968,4.5920000000000005,5.264,4.088,1.008,3.864,5.432,0.728,4.256
56,56,0.171,0.114,3.99,4.104,1.425,4.275,3.762,2.793,4.845,3.5340000000000003,1.254,0.513,3.876,0.684,3.306,2.907,0.912,3.1350000000000002,4.104,5.3580000000000005,3.363
57,57,3.886,2.204,1.45,3.654,4.0600000000000005,4.524,1.102,5.336,3.886,0.6960000000000001,3.48,2.204,1.508,0.6960000000000001,4.466,2.0300000000000002,4.408,2.7840000000000003,4.756,5.452,4.814
58,58,4.307,4.071,5.723,0.531,5.9590000000000005,2.419,5.605,1.534,4.425,4.6610000000000005,2.832,2.183,2.832,2.301,2.183,5.546,4.484,1.0030000000000001,2.95,3.3040000000000003,2.596
59,59,5.82,4.5,3.24,0.9,0.6,3.96,1.74,5.4,5.28,5.76,3.12,3.36,3.84,3.36,4.86,4.44,4.2,4.26,4.2,5.76,4.44
60,60,3.355,3.0500000000000003,2.501,3.233,1.159,3.843,0.305,3.111,4.2700000000000005,3.721,2.806,0.427,0.244,6.039,5.124,1.098,3.66,0.183,2.684,3.172,1.647
61,61,4.774,4.0920000000000005,6.0760000000000005,5.704,1.86,5.642,2.48,2.0460000000000003,3.844,4.65,4.03,5.456,5.332,3.0380000000000003,4.154,3.162,0.124,1.798,0.186,5.642,0.186
62,62,3.2760000000000002,5.67,3.465,3.213,6.174,2.016,3.591,1.26,4.851,0.756,4.5360000000000005,2.52,4.473,1.827,5.5440000000000005,1.323,4.788,4.473,0.6930000000000001,5.04,1.008
63,63,4.096,4.16,4.864,3.52,4.096,1.984,3.584,5.056,3.2640000000000002,5.248,4.16,6.016,3.456,2.24,6.016,2.944,4.48,5.888,2.176,2.176,5.888
64,64,6.5,2.47,4.16,2.795,1.56,5.33,4.875,5.2,1.43,3.315,5.655,2.275,5.265,4.55,4.68,3.315,5.915,1.235,4.8100000000000005,2.6,4.8100000000000005
65,65,4.62,2.574,0.198,6.204,6.6000000000000005,2.0460000000000003,5.478,5.346,4.422,1.9140000000000001,1.9140000000000001,5.742,0.528,1.9140000000000001,0.99,1.848,4.356,2.64,0.33,4.95,1.188
66,66,3.685,5.963,2.8810000000000002,1.943,4.221,0.201,3.015,3.283,1.8760000000000001,4.422,3.4170000000000003,2.68,3.082,1.139,1.206,0.268,1.34,1.608,1.474,0.737,1.206
67,67,6.5280000000000005,0.136,6.392,6.8,5.032,2.856,2.176,3.196,1.7,3.332,0.68,1.496,2.856,4.556,4.76,2.992,1.02,5.304,6.732,1.36,1.36
68,68,1.6560000000000001,5.244,5.382,3.726,5.037,5.865,5.658,6.831,6.831,0.621,5.106,5.313,6.555,2.622,0.6900000000000001,5.175,1.104,3.036,1.6560000000000001,4.485,1.725
69,69,6.37,6.16,3.43,4.13,0.77,5.04,5.95,2.87,0.77,0.84,2.73,1.4000000000000001,3.7800000000000002,5.8100000000000005,0.91,3.7800000000000002,0.7000000000000001,2.0300000000000002,0.84,2.17,0.63
70,70,5.325,5.538,0.781,6.461,5.964,4.615,0.14200000000000002,3.053,3.763,4.402,5.609,0.71,6.603,6.603,2.982,5.4670000000000005,4.047,1.42,0.426,4.828,0.71
71,71,4.68,0.864,2.016,1.8,4.968,5.328,1.512,6.6240000000000006,7.128,2.952,0.648,4.68,1.008,4.392,3.384,5.472,2.88,3.672,1.224,0.5760000000000001,6.48
72,72,2.847,1.314,4.599,3.212,0.146,5.4750000000000005,1.825,4.599,2.19,3.7960000000000003,4.672,0.219,6.351,0.073,1.46,4.964,5.11,2.92,1.168,3.358,1.095
73,73,1.332,3.922,6.438,3.2560000000000002,7.252,2.072,6.956,1.776,0.444,1.4060000000000001,0.148,2.96,2.886,4.144,4.44,3.552,0.8140000000000001,0.888,5.772,4.958,6.29
74,74,4.875,0.75,0.8250000000000001,4.275,3.075,2.7,5.8500000000000005,3.6,1.2750000000000001,0.975,4.3500000000000005,6.45,5.325,1.2750000000000001,0.525,3.15,4.275,3.075,3.825,3.975,1.95
75,75,4.0280000000000005,1.596,1.064,1.748,0.532,6.84,5.168,4.256,6.384,2.736,0.76,1.216,0.152,1.976,6.08,5.016,1.9000000000000001,3.648,1.672,1.596,4.484
76,76,6.622,3.234,5.621,7.7,2.156,4.774,4.774,7.392,1.078,5.313,5.5440000000000005,4.697,3.5420000000000003,3.619,5.313,5.313,4.774,5.39,6.545,0.924,3.388
77,77,4.29,4.29,7.176,4.758,6.162,3.9,3.666,1.4040000000000001,7.566,5.07,7.176,6.3180000000000005,4.602,6.942,5.304,2.652,4.68,6.63,7.566,7.8,5.6160000000000005
78,78,3.95,0.158,4.6610000000000005,1.5010000000000001,5.53,6.32,5.4510000000000005,0.23700000000000002,6.2410000000000005,1.422,5.135,2.844,4.819,3.318,6.083,4.266,6.952,4.108,6.399,0.711,6.399
79,79,4.16,1.36,4.4,0.16,4.0,0.16,5.5200000000000005,1.04,2.64,3.84,2.8000000000000003,1.2,0.72,3.84,6.88,2.64,1.2,3.04,3.44,4.72,6.16
80,80,0.5670000000000001,4.455,5.751,5.589,1.053,3.807,7.938,0.729,5.265,3.078,1.296,5.589,4.941,1.539,0.972,3.969,5.67,3.807,7.857,3.321,3.726
81,81,5.74,2.214,4.1,7.134,8.282,5.74,3.362,5.412,0.8200000000000001,3.7720000000000002,3.116,1.968,1.6400000000000001,0.902,3.69,6.97,5.494,5.986,6.888,2.46,6.724
82,82,2.988,7.221,3.3200000000000003,0.332,3.071,4.399,6.391,2.158,8.051,0.8300000000000001,2.573,6.972,2.822,5.976,5.727,3.3200000000000003,2.9050000000000002,2.075,2.739,3.9010000000000002,3.486
83,83,6.132000000000001,7.896,6.048,2.688,0.42,1.512,1.428,1.596,7.476,7.644,1.596,4.704,7.896,0.672,4.368,5.712,5.628,7.812,7.812,4.116,5.964
84,84,0.34,1.87,2.89,8.16,0.34,3.23,2.38,3.825,3.6550000000000002,0.425,3.315,3.06,7.055,4.505,8.33,6.97,1.02,8.33,4.505,7.140000000000001,5.78
85,85,7.5680000000000005,0.9460000000000001,6.0200000000000005,6.0200000000000005,7.482,1.3760000000000001,4.3,2.924,6.0200000000000005,1.118,2.236,6.192,2.666,3.2680000000000002,2.838,7.654,7.396,0.43,7.5680000000000005,6.966,3.612
86,86,2.349,1.827,1.218,1.566,5.481,5.5680000000000005,5.916,3.219,3.567,1.305,2.523,3.219,2.436,6.525,1.9140000000000001,6.96,5.916,1.653,3.915,5.133,1.044
87,87,5.5440000000000005,1.1440000000000001,2.992,4.5760000000000005,7.392,7.48,2.992,8.008000000000001,5.016,3.2560000000000002,8.184000000000001,6.248,2.464,1.584,8.096,0.088,6.16,6.6000000000000005,1.672,6.16,2.728
88,88,6.853,5.34,8.01,6.764,1.5130000000000001,3.738,8.9,2.9370000000000003,6.141,5.696,4.628,7.3870000000000005,3.827,5.607,5.429,2.9370000000000003,3.471,3.0260000000000002,7.298,6.23,6.408
89,89,5.8500000000000005,1.08,5.49,5.8500000000000005,2.88,8.01,4.95,0.27,5.58,6.48,7.74,5.3100000000000005,2.25,2.34,2.61,6.12,3.7800000000000002,6.12,4.95,7.38,1.44
90,90,1.6380000000000001,3.003,1.82,0.455,4.095,1.729,9.009,6.37,6.279,7.189,0.182,7.462,7.644,6.188,7.735,0.728,9.1,8.554,6.461,7.098,7.8260000000000005
91,91,2.208,1.196,3.22,7.36,4.14,8.096,7.728,8.004,1.932,4.692,8.096,8.372,2.576,5.796,8.28,8.188,8.372,5.796,5.244,3.128,7.728
92,92,0.186,1.116,3.6270000000000002,3.72,2.1390000000000002,9.393,9.207,1.953,1.302,7.347,7.533,2.697,3.906,3.348,6.51,1.0230000000000001,2.418,4.464,8.835,7.719,0.558
93,93,9.494,6.768,1.034,3.478,8.272,7.144,9.118,8.554,3.384,0.9400000000000001,3.478,1.034,5.546,9.494,0.658,1.41,0.47000000000000003,7.238,9.494,8.272,2.162
94,94,7.315,3.23,7.22,8.36,5.035,2.945,5.415,5.7,4.75,3.04,0.19,9.595,6.745,1.52,7.315,1.1400000000000001,2.185,4.37,9.595,2.47,0.095
95,95,6.336,1.056,5.5680000000000005,3.072,7.008,1.1520000000000001,5.76,0.768,2.688,5.472,5.664,1.728,4.8,8.256,7.68,5.472,2.496,3.168,9.024000000000001,5.664,6.6240000000000006
96,96,5.626,6.79,6.8870000000000005,0.291,9.409,1.746,7.76,6.208,3.395,5.141,6.014,1.552,2.4250000000000003,8.148,5.238,7.566,3.492,5.82,0.582,4.947,6.984
97,97,8.526,5.488,1.764,8.722,7.252,6.86,0.588,6.566,7.3500000000000005,4.116,7.742,4.116,4.998,4.508,6.174,0.98,3.0380000000000003,8.526,8.036,0.196,0.49
98,98,3.762,6.138,8.712,0.198,7.128,5.5440000000000005,0.891,3.6630000000000003,3.762,8.415000000000001,5.643,4.356,7.425,0.297,1.485,4.158,3.6630000000000003,9.504,6.732,1.287,1.782
99,99,2.3000000000000003,9.1,9.5,6.7,8.8,3.6,0.7000000000000001,5.9,5.6000000000000005,7.4,7.4,3.7,10.1,3.9,10.1,5.3,8.3,7.9,7.5,2.2,5.6000000000000005
100,100,2.9290000000000003,3.535,7.575,4.343,2.323,5.454,6.1610000000000005,8.484,6.363,1.212,3.939,7.171,9.999,2.323,5.8580000000000005,1.111,1.313,0.303,4.444,2.121,4.747
101,101,9.078,8.058,9.588000000000001,5.712,3.978,5.814,2.04,3.366,9.282,5.712,2.754,3.876,8.874,3.162,0.40800000000000003,4.386,9.078,7.854,1.02,6.426,4.7940000000000005
102,102,5.4590000000000005,5.4590000000000005,7.416,8.961,5.15,9.991,4.429,4.12,4.532,9.373,5.4590000000000005,7.931,5.871,3.193,4.635,5.047,6.283,1.7510000000000001,8.034,8.961,7.828
103,103,3.12,1.1440000000000001,8.112,9.152000000000001,0.41600000000000004,8.112,6.656000000000001,8.944,0.20800000000000002,2.08,1.456,6.344,10.504,9.88,7.384,3.848,7.5920000000000005,3.432,2.6,2.392,9.568
104,104,2.31,8.715,6.195,6.405,5.565,4.095,7.3500000000000005,8.295,1.68,3.8850000000000002,10.290000000000001,9.24,10.290000000000001,1.05,8.19,0.315,1.68,4.83,4.2,6.195,2.94
105,105,7.208,6.572,9.540000000000001,6.890000000000001,8.268,2.12,5.936,9.752,4.558,6.466,9.01,6.2540000000000004,6.466,9.222,3.922,4.982,6.890000000000001,8.798,6.572,10.706,8.374
106,106,9.202,7.062,6.7410000000000005,2.033,3.852,2.14,1.926,4.3870000000000005,8.132,8.132,10.058,2.354,1.605,6.527,2.247,7.918,4.708,3.959,1.498,2.568,3.21
107,107,10.584,0.54,1.4040000000000001,10.584,0.864,8.208,8.208,6.372,4.86,3.996,9.612,5.94,8.424,0.216,5.292,8.856,9.504,8.64,4.428,1.944,6.048
108,108,11.009,1.199,8.393,2.616,9.592,11.009,8.066,2.071,4.36,0.109,2.507,4.796,6.431,3.488,4.033,0.109,9.374,0.763,7.412,1.09,4.469
109,109,5.28,5.39,2.2,9.790000000000001,10.120000000000001,7.04,8.91,3.19,7.37,3.08,0.66,5.61,6.49,8.36,4.07,6.93,0.66,6.16,8.58,9.68,5.61
110,110,3.8850000000000002,3.6630000000000003,7.659,1.443,7.881,10.323,8.325,5.55,0.999,7.659,4.884,3.8850000000000002,6.438,10.434000000000001,7.215,2.331,0.111,1.554,4.884,3.996,5.55
111,111,10.304,5.488,7.168,8.624,10.304,1.68,3.92,3.696,7.84,0.896,6.72,0.336,7.5040000000000004,1.456,6.16,5.6000000000000005,7.5040000000000004,9.296,1.68,6.832,8.288
112,112,2.373,9.040000000000001,2.712,6.328,2.373,1.356,1.356,2.2600000000000002,5.198,7.797000000000001,2.0340000000000003,7.571,0.904,9.831,5.424,9.040000000000001,4.181,6.102,2.712,10.848,2.2600000000000002
113,113,0.456,9.348,6.2700000000000005,4.332,4.674,4.5600000000000005,6.726,0.114,0.912,1.482,8.664,4.5600000000000005,6.384,3.42,10.032,5.244,2.166,3.99,4.446,0.798,6.726
114,114,10.005,6.555,5.75,10.58,10.925,4.255,0.6900000000000001,8.05,5.635,2.5300000000000002,5.5200000000000005,3.22,1.955,5.0600000000000005,1.2650000000000001,10.925,2.645,11.27,3.68,9.200000000000001,9.200000000000001
115,115,8.932,1.856,10.788,5.916,0.116,4.292,3.712,5.916,8.932,6.496,4.872,11.6,6.844,11.368,3.364,11.252,4.0600000000000005,9.744,11.716000000000001,4.0600000000000005,4.408
116,116,4.68,5.7330000000000005,5.6160000000000005,10.413,8.658,10.53,1.4040000000000001,5.8500000000000005,0.936,11.466000000000001,5.8500000000000005,4.68,6.7860000000000005,1.872,0.8190000000000001,4.68,0.35100000000000003,1.989,1.5210000000000001,5.6160000000000005,2.106
117,117,5.192,9.086,4.838,8.496,4.956,10.384,1.18,1.062,2.596,1.77,3.186,4.838,0.708,1.416,2.478,1.062,6.018,11.328,4.838,7.5520000000000005,7.67
118,118,3.8080000000000003,4.76,5.593,3.689,6.426,10.948,9.639,3.927,9.639,1.071,1.428,5.831,3.451,5.831,6.188,3.213,10.472,11.9,3.5700000000000003,9.758000000000001,1.666
119,119,3.48,7.08,10.92,11.64,7.8,3.48,10.92,5.64,7.5600000000000005,5.76,9.72,1.08,6.6000000000000005,11.16,4.8,9.36,7.32,11.76,9.84,9.96,11.040000000000001
120,120,11.132,0.242,6.292,4.356,4.356,4.114,0.726,7.744,3.267,1.452,6.897,5.203,9.559000000000001,4.235,2.541,11.858,8.47,1.815,3.267,4.598,3.993
121,121,1.22,9.15,9.516,8.662,5.124,8.296,10.98,1.22,1.22,0.732,3.904,5.734,3.172,3.294,4.026,11.102,2.196,10.248,7.686,0.976,7.442
122,122,7.995,3.075,8.487,4.305,10.701,11.193,7.626,10.332,3.813,0.738,7.7490000000000006,2.706,8.733,9.963000000000001,1.23,7.872,8.733,0.615,7.503,10.332,10.947000000000001
123,123,6.944,5.332,3.224,8.804,1.86,6.82,0.744,3.1,6.572,2.108,9.3,0.248,4.588,11.16,11.78,9.548,8.804,3.472,2.48,0.744,1.736
124,124,6.375,9.25,10.75,2.625,9.0,12.125,6.125,3.625,9.125,10.125,11.25,3.75,8.125,5.125,4.125,9.625,4.75,2.125,4.75,7.75,8.375
125,125,10.458,0.882,9.828,0.882,0.252,7.686,8.442,10.836,7.056,11.214,4.662,10.836,4.284,3.2760000000000002,11.466000000000001,4.41,3.654,6.5520000000000005,0.378,2.7720000000000002,0.756
126,126,2.032,9.652000000000001,3.048,2.9210000000000003,12.573,7.747,0.254,8.509,2.6670000000000003,8.382,6.223,0.127,4.699,1.778,1.778,0.254,0.381,12.573,4.3180000000000005,11.557,0.889
127,127,7.168,8.064,10.24,7.68,1.1520000000000001,12.544,1.6640000000000001,10.368,2.944,3.712,0.256,8.192,7.296,8.064,8.832,10.496,2.816,12.928,11.776,12.672,5.376
128,128,12.126,6.45,7.224,12.9,4.257,9.675,10.191,4.386,8.643,2.58,6.966,10.449,11.61,6.063,4.386,0.774,3.612,1.032,7.998,5.418,1.548
129,129,11.96,3.25,8.32,11.96,3.5100000000000002,4.16,1.43,3.64,11.83,11.57,2.86,9.88,2.99,3.5100000000000002,10.66,11.44,7.28,8.06,1.95,5.59,0.39
130,130,1.441,5.502,0.917,11.659,12.576,7.205,4.585,0.131,13.231,10.218,7.336,8.777000000000001,12.707,10.873000000000001,1.31,9.17,7.86,7.598,5.371,3.799,7.074
131,131,1.716,3.696,8.184000000000001,11.88,1.188,8.844,13.332,1.32,10.956,1.32,1.848,6.6000000000000005,11.088000000000001,11.352,13.332,0.924,5.5440000000000005,12.012,10.296,7.26,12.408
132,132,11.571,12.901,2.394,10.108,0.931,13.433,11.305,12.236,12.768,7.448,5.852,2.793,5.852,10.773,4.522,1.463,6.384,2.394,12.502,2.926,6.384
133,133,11.792,7.638,4.958,11.122,3.7520000000000002,2.948,8.978,9.782,4.0200000000000005,2.948,9.38,0.536,9.916,7.102,10.184000000000001,9.38,13.266,8.71,7.37,10.586,4.154
134,134,10.395,2.295,5.94,3.375,7.83,1.62,7.425,1.7550000000000001,5.535,6.75,6.75,3.24,11.61,3.24,7.83,2.565,0.405,11.88,10.125,1.215,7.5600000000000005
